location,new_cases,new_cases_smoothed,date
United Kingdom,34647.0,34363.143,2021-10-01
United Kingdom,29415.0,34310.571,2021-10-02
United Kingdom,29681.0,33833.0,2021-10-03
United Kingdom,34321.0,33374.429,2021-10-04
United Kingdom,33103.0,33155.286,2021-10-05
United Kingdom,38751.0,33674.143,2021-10-06
United Kingdom,39794.0,34244.571,2021-10-07
United Kingdom,34967.0,34290.286,2021-10-08
United Kingdom,39451.0,35724.0,2021-10-09
United Kingdom,33631.0,36288.286,2021-10-10
United Kingdom,39624.0,37045.857,2021-10-11
United Kingdom,37759.0,37711.0,2021-10-12
United Kingdom,41557.0,38111.857,2021-10-13
United Kingdom,44682.0,38810.143,2021-10-14
United Kingdom,44303.0,40143.857,2021-10-15
United Kingdom,42871.0,40632.429,2021-10-16
United Kingdom,44750.0,42220.857,2021-10-17
United Kingdom,48902.0,43546.286,2021-10-18
United Kingdom,43464.0,44361.286,2021-10-19
United Kingdom,48665.0,45376.714,2021-10-20
United Kingdom,51603.0,46365.429,2021-10-21
United Kingdom,48866.0,47017.286,2021-10-22
United Kingdom,45044.0,47327.714,2021-10-23
United Kingdom,38789.0,46476.143,2021-10-24
United Kingdom,36348.0,44682.714,2021-10-25
United Kingdom,43581.0,44699.429,2021-10-26
United Kingdom,44058.0,44041.286,2021-10-27
United Kingdom,39159.0,42263.571,2021-10-28
United Kingdom,43239.0,41459.714,2021-10-29
United Kingdom,40806.0,40854.286,2021-10-30
United Kingdom,37753.0,40706.286,2021-10-31
United Kingdom,40008.0,41229.143,2021-11-01
United Kingdom,33709.0,39818.857,2021-11-02
United Kingdom,40875.0,39364.143,2021-11-03
United Kingdom,36820.0,39030.0,2021-11-04
United Kingdom,33905.0,37696.571,2021-11-05
United Kingdom,30266.0,36190.857,2021-11-06
United Kingdom,29935.0,35074.0,2021-11-07
United Kingdom,32368.0,33982.571,2021-11-08
United Kingdom,32878.0,33863.857,2021-11-09
United Kingdom,39683.0,33693.571,2021-11-10
United Kingdom,42713.0,34535.429,2021-11-11
United Kingdom,39198.0,35291.571,2021-11-12
United Kingdom,37855.0,36375.714,2021-11-13
United Kingdom,36326.0,37288.714,2021-11-14
United Kingdom,39919.0,38367.429,2021-11-15
United Kingdom,37096.0,38970.0,2021-11-16
United Kingdom,38241.0,38764.0,2021-11-17
United Kingdom,47167.0,39400.286,2021-11-18
United Kingdom,44540.0,40163.429,2021-11-19
United Kingdom,40053.0,40477.429,2021-11-20
United Kingdom,39703.0,40959.857,2021-11-21
United Kingdom,45178.0,41711.143,2021-11-22
United Kingdom,43027.0,42558.429,2021-11-23
United Kingdom,42974.0,43234.571,2021-11-24
United Kingdom,47136.0,43230.143,2021-11-25
United Kingdom,49851.0,43988.857,2021-11-26
United Kingdom,39774.0,43949.0,2021-11-27
United Kingdom,36676.0,43516.571,2021-11-28
United Kingdom,42882.0,43188.571,2021-11-29
United Kingdom,40218.0,42787.286,2021-11-30
United Kingdom,47755.0,43470.286,2021-12-01
United Kingdom,53541.0,44385.286,2021-12-02
United Kingdom,51070.0,44559.429,2021-12-03
United Kingdom,41701.0,44834.714,2021-12-04
United Kingdom,43552.0,45817.0,2021-12-05
United Kingdom,51604.0,47063.0,2021-12-06
United Kingdom,45464.0,47812.429,2021-12-07
United Kingdom,51055.0,48283.857,2021-12-08
United Kingdom,50479.0,47846.429,2021-12-09
United Kingdom,58596.0,48921.571,2021-12-10
United Kingdom,52446.0,50456.571,2021-12-11
United Kingdom,48268.0,51130.286,2021-12-12
United Kingdom,54111.0,51488.429,2021-12-13
United Kingdom,59908.0,53551.857,2021-12-14
United Kingdom,78140.0,57421.143,2021-12-15
United Kingdom,88002.0,62781.571,2021-12-16
United Kingdom,92952.0,67689.571,2021-12-17
United Kingdom,89281.0,72951.714,2021-12-18
United Kingdom,82183.0,77796.714,2021-12-19
United Kingdom,92559.0,83289.286,2021-12-20
United Kingdom,89525.0,87520.286,2021-12-21
United Kingdom,105900.0,91486.0,2021-12-22
United Kingdom,123055.0,96493.571,2021-12-23
United Kingdom,122175.0,100668.286,2021-12-24
United Kingdom,122261.0,105379.714,2021-12-25
United Kingdom,119366.0,110691.571,2021-12-26
United Kingdom,107771.0,112864.714,2021-12-27
United Kingdom,138146.0,119810.571,2021-12-28
United Kingdom,185283.0,131151.0,2021-12-29
United Kingdom,189863.0,140695.0,2021-12-30
United Kingdom,191351.0,150577.286,2021-12-31
